dv,age_group,selected_model_id,formula,term,coef,std_err,t_value,p_value,ci_lower,ci_upper,sign,vif
NET_RATE_18_24,18_24,M1,NET_RATE_18_24 ~ COMMUTE_MED + MED_HOMEVAL,const,63.863981,17.10935,3.7327,0.000511,29.444408,98.283554,+,
NET_RATE_18_24,18_24,M1,NET_RATE_18_24 ~ COMMUTE_MED + MED_HOMEVAL,COMMUTE_MED,-2.786161,0.823465,-3.3835,0.001452,-4.442759,-1.129562,-,8.7
NET_RATE_18_24,18_24,M1,NET_RATE_18_24 ~ COMMUTE_MED + MED_HOMEVAL,MED_HOMEVAL,9e-06,2e-05,0.4417,0.660725,-3.1e-05,4.9e-05,+,8.7
NET_RATE_25_34,25_34,M4,NET_RATE_25_34 ~ NRI_RISK_INDEX + TRANSIT_SHARE,const,-4.401394,8.81897,-0.4991,0.620049,-22.142872,13.340085,-,
NET_RATE_25_34,25_34,M4,NET_RATE_25_34 ~ NRI_RISK_INDEX + TRANSIT_SHARE,NRI_RISK_INDEX,0.072423,0.113298,0.6392,0.525782,-0.155504,0.30035,+,1.47
NET_RATE_25_34,25_34,M4,NET_RATE_25_34 ~ NRI_RISK_INDEX + TRANSIT_SHARE,TRANSIT_SHARE,-0.447234,0.379121,-1.1797,0.244072,-1.209928,0.31546,-,1.47
NET_RATE_35_54,35_54,M1,NET_RATE_35_54 ~ REAL_PCPI + PERMITS,const,13.353891,8.653904,1.5431,0.129512,-4.055518,30.7633,+,
NET_RATE_35_54,35_54,M1,NET_RATE_35_54 ~ REAL_PCPI + PERMITS,REAL_PCPI,-0.000187,0.000145,-1.2863,0.204643,-0.000479,0.000105,-,1.49
NET_RATE_35_54,35_54,M1,NET_RATE_35_54 ~ REAL_PCPI + PERMITS,PERMITS,-1.1e-05,2.1e-05,-0.5143,0.609478,-5.2e-05,3.1e-05,-,1.49
NET_RATE_55_64,55_64,M2,NET_RATE_55_64 ~ NRI_RISK_INDEX + ELEC_PRICE_TOT,const,6.533018,5.993671,1.09,0.281276,-5.524693,18.590728,+,
NET_RATE_55_64,55_64,M2,NET_RATE_55_64 ~ NRI_RISK_INDEX + ELEC_PRICE_TOT,NRI_RISK_INDEX,-0.024877,0.079337,-0.3136,0.755243,-0.184483,0.134729,-,7.45
NET_RATE_55_64,55_64,M2,NET_RATE_55_64 ~ NRI_RISK_INDEX + ELEC_PRICE_TOT,ELEC_PRICE_TOT,-0.236015,0.170425,-1.3849,0.172633,-0.578866,0.106836,-,7.45
NET_RATE_65_PLUS,65_PLUS,M2,NET_RATE_65_PLUS ~ UNINSURED + RPP,const,11.923255,11.36955,1.0487,0.299679,-10.949328,34.795839,+,
NET_RATE_65_PLUS,65_PLUS,M2,NET_RATE_65_PLUS ~ UNINSURED + RPP,UNINSURED,0.287449,0.282035,1.0192,0.313328,-0.279932,0.854829,+,8.45
NET_RATE_65_PLUS,65_PLUS,M2,NET_RATE_65_PLUS ~ UNINSURED + RPP,RPP,-0.142742,0.10843,-1.3164,0.19441,-0.360874,0.075391,-,8.45
