variable,rank_type,rank,state_name,abbrev,share,share_pct
IN_SHARE_18_24,top,1,Texas,TX,0.066396,6.64
IN_SHARE_18_24,top,2,California,CA,0.05908,5.91
IN_SHARE_18_24,top,3,New York,NY,0.053197,5.32
IN_SHARE_18_24,top,4,Florida,FL,0.051675,5.17
IN_SHARE_18_24,top,5,Pennsylvania,PA,0.039433,3.94
IN_SHARE_18_24,bottom,50,South Dakota,SD,0.003976,0.4
IN_SHARE_18_24,bottom,49,Maine,ME,0.004376,0.44
IN_SHARE_18_24,bottom,48,Alaska,AK,0.004611,0.46
IN_SHARE_18_24,bottom,47,Delaware,DE,0.004933,0.49
IN_SHARE_18_24,bottom,46,Wyoming,WY,0.004971,0.5
IN_SHARE_25_34,top,1,Texas,TX,0.083581,8.36
IN_SHARE_25_34,top,2,California,CA,0.069567,6.96
IN_SHARE_25_34,top,3,Florida,FL,0.062501,6.25
IN_SHARE_25_34,top,4,New York,NY,0.054477,5.45
IN_SHARE_25_34,top,5,North Carolina,NC,0.038744,3.87
IN_SHARE_25_34,bottom,50,North Dakota,ND,0.002529,0.25
IN_SHARE_25_34,bottom,49,South Dakota,SD,0.002621,0.26
IN_SHARE_25_34,bottom,48,Vermont,VT,0.002692,0.27
IN_SHARE_25_34,bottom,47,Wyoming,WY,0.002734,0.27
IN_SHARE_25_34,bottom,46,Delaware,DE,0.003858,0.39
IN_SHARE_35_54,top,1,Texas,TX,0.087952,8.8
IN_SHARE_35_54,top,2,Florida,FL,0.083148,8.31
IN_SHARE_35_54,top,3,California,CA,0.055211,5.52
IN_SHARE_35_54,top,4,Georgia,GA,0.045731,4.57
IN_SHARE_35_54,top,5,North Carolina,NC,0.044096,4.41
IN_SHARE_35_54,bottom,50,Vermont,VT,0.003143,0.31
IN_SHARE_35_54,bottom,49,South Dakota,SD,0.003669,0.37
IN_SHARE_35_54,bottom,48,Wyoming,WY,0.003684,0.37
IN_SHARE_35_54,bottom,47,Rhode Island,RI,0.003885,0.39
IN_SHARE_35_54,bottom,46,North Dakota,ND,0.004051,0.41
IN_SHARE_55_64,top,1,Florida,FL,0.136167,13.62
IN_SHARE_55_64,top,2,Texas,TX,0.066765,6.68
IN_SHARE_55_64,top,3,North Carolina,NC,0.049225,4.92
IN_SHARE_55_64,top,4,Arizona,AZ,0.046191,4.62
IN_SHARE_55_64,top,5,California,CA,0.040311,4.03
IN_SHARE_55_64,bottom,50,North Dakota,ND,0.002379,0.24
IN_SHARE_55_64,bottom,49,Alaska,AK,0.002603,0.26
IN_SHARE_55_64,bottom,48,Rhode Island,RI,0.00288,0.29
IN_SHARE_55_64,bottom,47,South Dakota,SD,0.002951,0.3
IN_SHARE_55_64,bottom,46,Wyoming,WY,0.003053,0.31
IN_SHARE_65_PLUS,top,1,Florida,FL,0.146943,14.69
IN_SHARE_65_PLUS,top,2,Texas,TX,0.056195,5.62
IN_SHARE_65_PLUS,top,3,Arizona,AZ,0.053856,5.39
IN_SHARE_65_PLUS,top,4,California,CA,0.051328,5.13
IN_SHARE_65_PLUS,top,5,North Carolina,NC,0.042867,4.29
IN_SHARE_65_PLUS,bottom,50,Alaska,AK,0.001599,0.16
IN_SHARE_65_PLUS,bottom,49,Rhode Island,RI,0.002225,0.22
IN_SHARE_65_PLUS,bottom,48,Wyoming,WY,0.002368,0.24
IN_SHARE_65_PLUS,bottom,47,Vermont,VT,0.00261,0.26
IN_SHARE_65_PLUS,bottom,46,North Dakota,ND,0.003208,0.32
IN_SHARE_ALL_AGES,top,1,Florida,FL,0.080286,8.03
IN_SHARE_ALL_AGES,top,2,Texas,TX,0.075654,7.57
IN_SHARE_ALL_AGES,top,3,California,CA,0.058687,5.87
IN_SHARE_ALL_AGES,top,4,New York,NY,0.042999,4.3
IN_SHARE_ALL_AGES,top,5,North Carolina,NC,0.04158,4.16
IN_SHARE_ALL_AGES,bottom,50,South Dakota,SD,0.003431,0.34
IN_SHARE_ALL_AGES,bottom,49,Wyoming,WY,0.003553,0.36
IN_SHARE_ALL_AGES,bottom,48,Vermont,VT,0.003784,0.38
IN_SHARE_ALL_AGES,bottom,47,North Dakota,ND,0.003987,0.4
IN_SHARE_ALL_AGES,bottom,46,Alaska,AK,0.004279,0.43
