dropped_state,dropped_name,adj_r2,coef_COMMUTE_MED,sign_COMMUTE_MED,coef_VACANCY_RATE,sign_VACANCY_RATE
AL,Alabama,0.3871,-0.030495,-,-0.064722,-
AK,Alaska,0.3803,-0.031315,-,-0.060508,-
AZ,Arizona,0.3677,-0.030061,-,-0.060723,-
AR,Arkansas,0.3761,-0.02985,-,-0.062286,-
CA,California,0.3764,-0.029981,-,-0.062369,-
CO,Colorado,0.3816,-0.030021,-,-0.062915,-
CT,Connecticut,0.3771,-0.030226,-,-0.062196,-
DE,Delaware,0.376,-0.030369,-,-0.062959,-
FL,Florida,0.3353,-0.0294,-,-0.05823,-
GA,Georgia,0.3534,-0.02992,-,-0.060601,-
HI,Hawaii,0.3804,-0.030583,-,-0.062116,-
ID,Idaho,0.3836,-0.030955,-,-0.062457,-
IL,Illinois,0.3814,-0.031152,-,-0.059896,-
IN,Indiana,0.3777,-0.030266,-,-0.061473,-
IA,Iowa,0.3735,-0.027853,-,-0.062803,-
KS,Kansas,0.3759,-0.030575,-,-0.061586,-
KY,Kentucky,0.3904,-0.030481,-,-0.063877,-
LA,Louisiana,0.3847,-0.03017,-,-0.06517,-
ME,Maine,0.4263,-0.030572,-,-0.068218,-
MD,Maryland,0.3631,-0.029909,-,-0.061934,-
MA,Massachusetts,0.4047,-0.033897,-,-0.055784,-
MI,Michigan,0.3765,-0.030307,-,-0.061674,-
MN,Minnesota,0.3763,-0.030321,-,-0.061711,-
MS,Mississippi,0.3746,-0.030307,-,-0.062153,-
MO,Missouri,0.3756,-0.030258,-,-0.061551,-
MT,Montana,0.36,-0.029536,-,-0.061453,-
NE,Nebraska,0.3746,-0.030853,-,-0.063006,-
NV,Nevada,0.3681,-0.029185,-,-0.055438,-
NH,New Hampshire,0.3981,-0.029335,-,-0.066106,-
NJ,New Jersey,0.3877,-0.026432,-,-0.067884,-
NM,New Mexico,0.3831,-0.031099,-,-0.058552,-
NY,New York,0.4155,-0.035594,-,-0.055833,-
NC,North Carolina,0.3721,-0.0303,-,-0.061931,-
ND,North Dakota,0.3164,-0.028071,-,-0.058571,-
OH,Ohio,0.3777,-0.030317,-,-0.06206,-
OK,Oklahoma,0.3775,-0.030486,-,-0.061465,-
OR,Oregon,0.3948,-0.030925,-,-0.062415,-
PA,Pennsylvania,0.378,-0.030539,-,-0.061204,-
RI,Rhode Island,0.3756,-0.030706,-,-0.057772,-
SC,South Carolina,0.3896,-0.03059,-,-0.065552,-
SD,South Dakota,0.3748,-0.03046,-,-0.061505,-
TN,Tennessee,0.3724,-0.030264,-,-0.061623,-
TX,Texas,0.3676,-0.030447,-,-0.063107,-
UT,Utah,0.4014,-0.029215,-,-0.064029,-
VT,Vermont,0.3455,-0.030002,-,-0.056616,-
VA,Virginia,0.3764,-0.030155,-,-0.062057,-
WA,Washington,0.3796,-0.029949,-,-0.062622,-
WV,West Virginia,0.3769,-0.030273,-,-0.061831,-
WI,Wisconsin,0.3662,-0.029793,-,-0.06022,-
WY,Wyoming,0.3518,-0.031132,-,-0.062737,-
