dropped_state,dropped_name,adj_r2,coef_COMMUTE_MED,sign_COMMUTE_MED,coef_VACANCY_RATE,sign_VACANCY_RATE,coef_TRANSIT_SHARE,sign_TRANSIT_SHARE
AL,Alabama,0.4277,-0.043302,-,-0.048693,-,0.019195,+
AK,Alaska,0.4257,-0.045574,-,-0.042391,-,0.020351,+
AZ,Arizona,0.4054,-0.042503,-,-0.045169,-,0.018595,+
AR,Arkansas,0.4151,-0.0424,-,-0.046294,-,0.018849,+
CA,California,0.4136,-0.042658,-,-0.046052,-,0.018714,+
CO,Colorado,0.4165,-0.042222,-,-0.047162,-,0.018214,+
CT,Connecticut,0.4156,-0.04278,-,-0.046246,-,0.018856,+
DE,Delaware,0.4135,-0.042778,-,-0.046702,-,0.018665,+
FL,Florida,0.3742,-0.041825,-,-0.04318,-,0.018425,+
GA,Georgia,0.392,-0.042575,-,-0.045372,-,0.018685,+
HI,Hawaii,0.4171,-0.042869,-,-0.046287,-,0.018542,+
ID,Idaho,0.4212,-0.043343,-,-0.046573,-,0.018656,+
IL,Illinois,0.4166,-0.043123,-,-0.044786,-,0.018222,+
IN,Indiana,0.4208,-0.043349,-,-0.04472,-,0.019647,+
IA,Iowa,0.4078,-0.039711,-,-0.047868,-,0.017484,+
KS,Kansas,0.4151,-0.043387,-,-0.045373,-,0.019001,+
KY,Kentucky,0.4231,-0.042303,-,-0.048345,-,0.0178,+
LA,Louisiana,0.4211,-0.04249,-,-0.049062,-,0.01847,+
ME,Maine,0.4512,-0.04117,-,-0.053931,-,0.015957,+
MD,Maryland,0.4028,-0.043763,-,-0.045065,-,0.01924,+
MA,Massachusetts,0.445,-0.046446,-,-0.039792,-,0.01883,+
MI,Michigan,0.4144,-0.042801,-,-0.045774,-,0.018767,+
MN,Minnesota,0.4148,-0.042925,-,-0.045667,-,0.018864,+
MS,Mississippi,0.4137,-0.042949,-,-0.046339,-,0.018956,+
MO,Missouri,0.4156,-0.042994,-,-0.045217,-,0.019138,+
MT,Montana,0.3978,-0.04222,-,-0.045788,-,0.018586,+
NE,Nebraska,0.4124,-0.043201,-,-0.046963,-,0.018666,+
NV,Nevada,0.4183,-0.042134,-,-0.038749,-,0.019477,+
NH,New Hampshire,0.4219,-0.040309,-,-0.051381,-,0.016135,+
NJ,New Jersey,0.4441,-0.040073,-,-0.050664,-,0.021238,+
NM,New Mexico,0.4251,-0.043854,-,-0.042235,-,0.01911,+
NY,New York,0.4101,-0.04128,-,-0.048006,-,0.013946,+
NC,North Carolina,0.4108,-0.042856,-,-0.046064,-,0.018836,+
ND,North Dakota,0.3558,-0.040564,-,-0.043527,-,0.018266,+
OH,Ohio,0.415,-0.042751,-,-0.046032,-,0.018685,+
OK,Oklahoma,0.4156,-0.042962,-,-0.04557,-,0.01876,+
OR,Oregon,0.4378,-0.043919,-,-0.045948,-,0.019445,+
PA,Pennsylvania,0.416,-0.042999,-,-0.045342,-,0.01873,+
RI,Rhode Island,0.4264,-0.044485,-,-0.039662,-,0.020581,+
SC,South Carolina,0.4305,-0.043442,-,-0.049529,-,0.019253,+
SD,South Dakota,0.4163,-0.044523,-,-0.043507,-,0.019754,+
TN,Tennessee,0.4111,-0.042946,-,-0.045893,-,0.018926,+
TX,Texas,0.4067,-0.043015,-,-0.047206,-,0.018846,+
UT,Utah,0.4367,-0.041029,-,-0.048927,-,0.01765,+
VT,Vermont,0.3968,-0.04368,-,-0.037279,-,0.02068,+
VA,Virginia,0.4145,-0.042893,-,-0.045634,-,0.018862,+
WA,Washington,0.4194,-0.042582,-,-0.046551,-,0.018993,+
WV,West Virginia,0.4168,-0.043012,-,-0.045638,-,0.019132,+
WI,Wisconsin,0.4076,-0.042482,-,-0.043896,-,0.019099,+
WY,Wyoming,0.3954,-0.044975,-,-0.04697,-,0.019635,+
