dropped_state,dropped_name,adj_r2,coef_PRIV_AVG_PAY,sign_PRIV_AVG_PAY,coef_RPP,sign_RPP,coef_COMMUTE_MED,sign_COMMUTE_MED
AL,Alabama,0.4283,5e-06,+,0.005903,+,0.009224,+
AK,Alaska,0.4984,5e-06,+,0.002676,+,0.016372,+
AZ,Arizona,0.4434,4e-06,+,0.006472,+,0.009423,+
AR,Arkansas,0.4164,5e-06,+,0.004727,+,0.009482,+
CA,California,0.4067,5e-06,+,0.005935,+,0.009169,+
CO,Colorado,0.4219,4e-06,+,0.005877,+,0.009586,+
CT,Connecticut,0.4536,6e-06,+,0.005621,+,0.00791,+
DE,Delaware,0.4629,5e-06,+,0.006353,+,0.009201,+
FL,Florida,0.4804,3e-06,+,0.007796,+,0.011375,+
GA,Georgia,0.4333,5e-06,+,0.005844,+,0.009495,+
HI,Hawaii,0.4281,5e-06,+,0.00517,+,0.009104,+
ID,Idaho,0.4289,5e-06,+,0.006015,+,0.009074,+
IL,Illinois,0.4254,4e-06,+,0.006132,+,0.008853,+
IN,Indiana,0.4342,5e-06,+,0.006068,+,0.008932,+
IA,Iowa,0.4246,5e-06,+,0.006031,+,0.009123,+
KS,Kansas,0.4574,4e-06,+,0.006545,+,0.010182,+
KY,Kentucky,0.4417,5e-06,+,0.0064,+,0.008672,+
LA,Louisiana,0.4305,5e-06,+,0.006175,+,0.008936,+
ME,Maine,0.4357,5e-06,+,0.005732,+,0.009105,+
MD,Maryland,0.4119,5e-06,+,0.005707,+,0.007335,+
MA,Massachusetts,0.4245,5e-06,+,0.005392,+,0.009442,+
MI,Michigan,0.432,5e-06,+,0.005997,+,0.009093,+
MN,Minnesota,0.4342,4e-06,+,0.005997,+,0.009787,+
MS,Mississippi,0.4265,5e-06,+,0.006092,+,0.008711,+
MO,Missouri,0.447,4e-06,+,0.006773,+,0.008601,+
MT,Montana,0.4238,5e-06,+,0.006153,+,0.008741,+
NE,Nebraska,0.4228,5e-06,+,0.005923,+,0.008939,+
NV,Nevada,0.4337,4e-06,+,0.006252,+,0.009314,+
NH,New Hampshire,0.4328,5e-06,+,0.006165,+,0.009001,+
NJ,New Jersey,0.4073,5e-06,+,0.005777,+,0.008804,+
NM,New Mexico,0.4501,5e-06,+,0.005955,+,0.00895,+
NY,New York,0.3857,4e-06,+,0.006231,+,0.008518,+
NC,North Carolina,0.432,5e-06,+,0.005933,+,0.009157,+
ND,North Dakota,0.4225,6e-06,+,0.00471,+,0.005297,+
OH,Ohio,0.4359,5e-06,+,0.006219,+,0.008942,+
OK,Oklahoma,0.4345,5e-06,+,0.006346,+,0.008914,+
OR,Oregon,0.438,4e-06,+,0.006862,+,0.008361,+
PA,Pennsylvania,0.4314,5e-06,+,0.006016,+,0.009045,+
RI,Rhode Island,0.4485,6e-06,+,0.004146,+,0.009088,+
SC,South Carolina,0.4303,4e-06,+,0.005985,+,0.009752,+
SD,South Dakota,0.4149,5e-06,+,0.005921,+,0.008665,+
TN,Tennessee,0.4478,4e-06,+,0.007126,+,0.007896,+
TX,Texas,0.4297,4e-06,+,0.006475,+,0.00872,+
UT,Utah,0.4348,4e-06,+,0.00646,+,0.008644,+
VT,Vermont,0.4461,4e-06,+,0.007096,+,0.008447,+
VA,Virginia,0.4332,5e-06,+,0.005983,+,0.009208,+
WA,Washington,0.4101,4e-06,+,0.006038,+,0.009241,+
WV,West Virginia,0.4221,4e-06,+,0.005613,+,0.009864,+
WI,Wisconsin,0.4303,5e-06,+,0.005997,+,0.009093,+
WY,Wyoming,0.4176,5e-06,+,0.00617,+,0.00796,+
