model_id,term,coef,std_err,t,p,ci_lower,ci_upper,vif
M25_2IV_PRIV_AVG_PAY+COMMUTE_MED,const,0.216639,0.123393,1.7557,0.085659,-0.031597,0.464874,
M25_2IV_PRIV_AVG_PAY+COMMUTE_MED,PRIV_AVG_PAY,7e-06,2e-06,3.6101,0.000741,3e-06,1.1e-05,1.54
M25_2IV_PRIV_AVG_PAY+COMMUTE_MED,COMMUTE_MED,0.011389,0.006131,1.8575,0.069505,-0.000945,0.023724,1.54
M25_3IV_PRIV_AVG_PAY+RPP+COMMUTE_MED,const,-0.141607,0.283765,-0.499,0.620136,-0.712796,0.429581,
M25_3IV_PRIV_AVG_PAY+RPP+COMMUTE_MED,PRIV_AVG_PAY,5e-06,3e-06,1.7421,0.08817,-1e-06,1e-05,2.84
M25_3IV_PRIV_AVG_PAY+RPP+COMMUTE_MED,RPP,0.005998,0.004288,1.3987,0.168605,-0.002634,0.014629,2.86
M25_3IV_PRIV_AVG_PAY+RPP+COMMUTE_MED,COMMUTE_MED,0.009093,0.006288,1.4461,0.15494,-0.003564,0.02175,1.65
M18_2IV_COMMUTE_MED+VACANCY_RATE,const,2.080121,0.185809,11.195,0.0,1.706322,2.45392,
M18_2IV_COMMUTE_MED+VACANCY_RATE,COMMUTE_MED,-0.030289,0.007531,-4.022,0.000208,-0.045439,-0.015139,1.0
M18_2IV_COMMUTE_MED+VACANCY_RATE,VACANCY_RATE,-0.061738,0.016864,-3.6608,0.000636,-0.095665,-0.027811,1.0
M18_3IV_COMMUTE_MED+VACANCY_RATE+TRANSIT_SHARE,const,2.225246,0.19371,11.4875,0.0,1.835329,2.615164,
M18_3IV_COMMUTE_MED+VACANCY_RATE+TRANSIT_SHARE,COMMUTE_MED,-0.042824,0.009567,-4.4765,5e-05,-0.062081,-0.023568,1.73
M18_3IV_COMMUTE_MED+VACANCY_RATE+TRANSIT_SHARE,VACANCY_RATE,-0.045764,0.018139,-2.523,0.015158,-0.082276,-0.009252,1.24
M18_3IV_COMMUTE_MED+VACANCY_RATE+TRANSIT_SHARE,TRANSIT_SHARE,0.018815,0.009291,2.0251,0.048681,0.000114,0.037517,1.9
