age_group,model_type,formula,n,r2,adj_r2,aic,bic,rmse,f_stat,f_pvalue
18_24,baseline_ols,NET_RATE_18_24 ~ COMMUTE_MED + MED_HOMEVAL,50,0.2052,0.1713,437.82,443.56,18.7317,6.066,0.0045
18_24,weighted_wls,NET_RATE_18_24 ~ COMMUTE_MED + MED_HOMEVAL,50,0.2033,0.1694,426.39,432.13,10359.5989,5.997,0.0048
18_24,exclude_smallest_ols,NET_RATE_18_24 ~ COMMUTE_MED + MED_HOMEVAL,40,0.2225,0.1804,324.2,329.27,13.431,5.293,0.0095
25_34,baseline_ols,NET_RATE_25_34 ~ NRI_RISK_INDEX + TRANSIT_SHARE,50,0.0297,-0.0116,367.46,373.2,9.2685,0.719,0.4925
25_34,weighted_wls,NET_RATE_25_34 ~ NRI_RISK_INDEX + TRANSIT_SHARE,50,0.1323,0.0953,355.53,361.26,6107.1375,3.582,0.0356
25_34,exclude_smallest_ols,NET_RATE_25_34 ~ NRI_RISK_INDEX + TRANSIT_SHARE,40,0.1132,0.0653,268.72,273.79,6.7132,2.362,0.1083
35_54,baseline_ols,NET_RATE_35_54 ~ REAL_PCPI + PERMITS,50,0.0374,-0.0036,323.93,329.67,5.9973,0.912,0.4086
35_54,weighted_wls,NET_RATE_35_54 ~ REAL_PCPI + PERMITS,50,0.2755,0.2447,322.29,328.02,6032.462,8.935,0.0005
35_54,exclude_smallest_ols,NET_RATE_35_54 ~ REAL_PCPI + PERMITS,40,0.1608,0.1154,242.47,247.54,4.8353,3.545,0.039
55_64,baseline_ols,NET_RATE_55_64 ~ NRI_RISK_INDEX + ELEC_PRICE_TOT,50,0.053,0.0127,332.95,338.69,6.5634,1.315,0.2783
55_64,weighted_wls,NET_RATE_55_64 ~ NRI_RISK_INDEX + ELEC_PRICE_TOT,50,0.2619,0.2305,335.89,341.63,4839.2824,8.339,0.0008
55_64,exclude_smallest_ols,NET_RATE_55_64 ~ NRI_RISK_INDEX + ELEC_PRICE_TOT,40,0.131,0.084,249.58,254.65,5.2847,2.788,0.0745
65_PLUS,baseline_ols,NET_RATE_65_PLUS ~ UNINSURED + RPP,50,0.0775,0.0382,302.86,308.6,4.8579,1.974,0.1503
65_PLUS,weighted_wls,NET_RATE_65_PLUS ~ UNINSURED + RPP,50,0.3156,0.2865,292.8,298.53,3859.7404,10.836,0.0001
65_PLUS,exclude_smallest_ols,NET_RATE_65_PLUS ~ UNINSURED + RPP,40,0.2289,0.1872,223.65,228.72,3.8217,5.493,0.0082
